feature,importance
customer_state,0.11374433456631577
order_month,0.10048095631667865
estimated_delivery_days,0.08338343339604865
seller_customer_distance_km,0.07738576477815526
category_historical_late_rate,0.07612925188674946
category_historical_avg_delivery_days,0.06314041984299193
freight_value,0.06132687848303907
seller_historical_late_rate,0.047108284059522804
product_category_name,0.04668439566814365
seller_historical_order_volume,0.04517019166632746
seller_historical_avg_review_score,0.044825370061578225
payment_value,0.03980348558173175
order_price,0.03749184959748603
product_weight_g,0.036540350347429244
total_product_weight_g,0.03583033328256791
seller_state,0.02930900305439694
order_day_of_week,0.019617416229800906
payment_installments,0.01679924337659903
payment_type,0.012636036860330747
order_item_count,0.005646361351951429
product_count,0.0027694361419260166
seller_count,0.002587747207148983
payment_count,0.0015894562430800434
